scope,page_number,metric,cluster_id,position_mean,position_min,position_max,position_range,x0_min,x1_max,token_count,page_count,sample_pages,sample_texts
sample_page,370,x_center,36,450.20528,450.20528,450.20528,0.0,426.74216,473.66839999999996,1,1,370,DEDUCTIONS
sample_page,370,x_center,37,458.14412000000004,458.14412000000004,458.14412000000004,0.0,440.77688,475.51136,1,1,370,BULANAN
sample_page,370,x_center,38,473.46612,473.45344,473.4788,0.025359999999977845,464.83,482.07688,2,1,370,KA12|RM
sample_page,370,x_center,39,477.85072,477.85072,477.85072,0.0,467.95,487.75144,44,1,370,265.25|265.95|266.65|267.35|268.05|268.75|269.45|270.15
sample_page,370,x_center,40,505.86612,505.85344000000003,505.87880000000007,0.025360000000034688,497.23,514.47688,2,1,370,KA13|RM
sample_page,370,x_center,41,510.25072000000006,510.25072000000006,510.25072000000006,0.0,500.35,520.1514400000001,44,1,370,241.95|242.65|243.35|244.05|244.75|245.45|246.15|246.85
sample_page,370,x_center,42,538.26612,538.25344,538.2788,0.02536000000009153,529.63,546.8768799999999,2,1,370,KA14|RM
sample_page,370,x_center,43,542.6507200000001,542.6507200000001,542.6507200000001,0.0,532.75,552.5514400000001,44,1,370,218.60|219.30|220.00|220.70|221.40|222.10|222.80|223.50
sample_page,370,x_center,44,547.7813199999999,547.7813199999999,547.7813199999999,0.0,537.31,558.2526399999999,1,1,370,Where
sample_page,370,x_center,45,552.8282200000001,552.8282200000001,552.8282200000001,0.0,545.95,559.70644,1,1,370,Jika
sample_page,370,x_center,46,570.6661199999999,570.6534399999999,570.6787999999999,0.025359999999977845,562.03,579.2768799999999,2,1,370,KA15|RM
sample_page,370,x_center,47,575.05072,575.05072,575.05072,0.0,565.15,584.95144,44,1,370,195.25|195.95|196.65|197.35|198.05|198.75|199.45|200.15
sample_page,370,x_center,48,582.345595,580.96174,583.88134,2.9196000000000595,560.18548,601.7379999999999,4,1,370,wife/husband|isteri/suami|Category|Kategori
sample_page,370,x_center,49,602.48255,601.615,603.1088,1.4937999999999647,594.46,611.70688,4,1,370,3|KA16|RM
sample_page,370,x_center,50,607.4528533333333,606.2267199999999,607.48072,1.2540000000001328,597.58,617.3814400000001,45,1,370,is|171.95|172.65|173.35|174.05|174.75|175.45|176.15
