page_number,page_width,page_height,rotation,page_box_signature,is_page_box_or_rotation_outlier,is_sampled,sample_reasons,token_count,x_center_min,x_center_max,y_center_min,y_center_max,extraction_error
284,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
285,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
286,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
287,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
288,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
289,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
290,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
291,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
292,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
293,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
294,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
295,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
296,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
297,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
298,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
299,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
300,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
301,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
302,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
303,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
304,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
305,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
306,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
307,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
308,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
309,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
310,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
311,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
312,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
313,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
314,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
315,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
316,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
317,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
318,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
319,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
320,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
321,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
322,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
323,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
324,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
325,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
326,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
