source_page,template_family,section_code,parsed_grid_rows,canonical_records,populated_records,observed_dash_records,provenance_path
202,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
203,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
204,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
205,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
206,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
207,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
208,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
209,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
210,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
211,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
212,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
213,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
214,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
215,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
216,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
217,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
218,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
219,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
220,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
221,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
222,normal_ka1_ka10,KA1_KA10,47,1081,1081,0,PDF Page -> Parsed Grid Row -> Column Label -> Canonical Record
